picture_path picture_name pos s.area version
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG A1 297376.37254902 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG A2 243823.733333334 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG A3 299056.415686275 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG A4 283928.278431373 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG B1 248006.250980393 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG B2 273072.207843137 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG B3 258773.717647059 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG B4 245332.611764706 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG C1 307912.470588235 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG C2 243897.792156863 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG C3 256408.537254902 pixIntens
./input_files/d000118_250_046_19-04-20_21-57-00.JPG d000118_250_046_19-04-20_21-57-00.JPG C4 256357.607843138 pixIntens
