picture_path picture_name pos s.area version
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG A1 219492.03137255 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG A2 187033.176470589 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG A3 211358.411764706 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG A4 211286.517647059 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG B1 201368.435294118 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG B2 173379.741176471 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG B3 184327.262745098 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG B4 179930.870588236 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG C1 213150.282352941 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG C2 179213.027450981 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG C3 185262.188235294 pixIntens
./input_files/d000118_250_046_19-04-20_05-57-07.JPG d000118_250_046_19-04-20_05-57-07.JPG C4 196072.270588236 pixIntens
