picture_path picture_name pos s.area version
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG A1 414048.674509804 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG A2 317853.113725491 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG A3 437826.63137255 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG A4 370638.894117648 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG B1 308467.141176471 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG B2 426657.960784315 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG B3 357807.949019609 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG B4 371629.529411766 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG C1 481786.290196079 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG C2 313795.592156863 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG C3 357762.800000001 pixIntens
./input_files/d000118_250_046_19-04-21_13-57-07.JPG d000118_250_046_19-04-21_13-57-07.JPG C4 374144.247058824 pixIntens
