"x"	"y"	"lab"
1.75736592147678	48.1469662791003	"1"
9.37158676012285	52.2074009907295	"2"
-80.1792587753104	48.060298233957	"3"
-83.8892520565504	44.2040576044956	"4"
-82.4258344875513	46.8689183059602	"5"
-90.5007595264389	54.0257065870594	"6"
-80.8560712534569	45.6486600513733	"7"
-89.2736012244094	44.8265791264053	"8"
-94.0973286146857	46.5988948202448	"9"
-88.5965572184498	46.0061288165007	"10"
22.3429638898293	49.4760738303832	"11"
7.13790795648356	49.7593275604012	"12"
22.484534045468	52.2445974273156	"13"
15.5530681829756	50.2632521028824	"14"
-118.418128637462	39.778237554765	"15"
-104.313322478438	44.291943187294	"16"
-110.077934884361	45.5305125106541	"17"
-94.9088146203852	43.821896826371	"18"
-110.699484248244	43.1069519176828	"19"
54.283860505588	39.3463816737433	"20"
-99.2133940429745	53.8550264052842	"21"
-104.196340095456	56.1016776218814	"22"
-105.957973589417	54.7120543556038	"23"
-115.474580074613	54.3731203965513	"24"
-97.3036641118134	55.1784701921283	"25"
-103.556620464647	51.4930916464873	"26"
-114.181029324594	52.2804166592753	"27"
-76.1643402048963	46.8469881382516	"29"
-121.555001324997	51.3996596899394	"30"
-98.74107982842	50.3143015301429	"31"
-108.261489332359	53.5286505829419	"32"
-96.5835154802908	52.6458278566053	"33"
-2.74933426606438	43.4636533759697	"34"
-66.9354490496816	47.423546801951	"35"
-64.8652508946707	48.6112356297807	"36"
-64.3915851783774	49.9494109131897	"37"
9.46834055278137	61.9672146064938	"38"
-4.76877073281094	58.0000717103653	"39"
-94.856070367777	47.7911023902632	"40"
-97.495438006708	45.4173023898956	"41"
-76.557177193445	43.7676393461872	"42"
-74.6070012217066	50.9384418576114	"43"
-77.8998070376813	40.2658120317361	"44"
15.4430097128678	51.4757661651387	"45"
8.8320053219777	51.0088372249148	"46"
5.04040075612338	55.9777899666771	"47"
38.6170398172325	58.7557949782089	"48"
29.1979351170028	45.727203224746	"49"
-11.7263437833955	56.1456444785186	"50"
-5.11472647048325	56.7468220945514	"51"
-0.369868020763221	49.9642580174507	"52"
23.4498136208244	50.6771913887764	"53"
91.3823930166828	56.7038952289137	"54"
2.15823916977646	58.6682220812785	"55"
8.83791345684685	59.4740149994324	"56"
11.0655422848384	57.7096796168426	"57"
32.6084509309977	43.7325698456192	"58"
0.909350502050813	53.2286445723205	"59"
8.2885244045691	54.2321883377394	"60"
0.732697425910544	54.8062074078827	"61"
14.5660888310998	55.4362992164432	"62"
14.443376824015	60.7094248885078	"63"
-2.58687858048998	52.0380668355664	"64"
70.2404916664066	44.2995456702246	"65"
19.6436069824113	61.9672146064938	"66"
-71.5618566670267	49.6974134617484	"67"
-95.4679391082623	39.9647378736619	"68"
-76.8027342969321	41.474778309475	"69"
-57.9259973434949	47.683975952181	"70"
-74.7629509191986	48.48676668758	"71"
-61.5134591746025	43.2361376806959	"72"
25.5650519755153	41.7560463591687	"73"
-68.1063845315478	44.0605319175836	"74"
45.8271844273857	44.7151485432654	"75"
83.8277577395812	36.2041963966392	"76"
69.9796112268766	34.5270194410165	"77"
77.1259862803814	35.3380803856156	"78"
14.8339075077666	44.4908521336176	"79"
14.4581109116394	40.7349451342913	"80"
21.1220916280032	56.6476279706525	"83"
18.6410238765391	58.5230893109173	"84"
9.22469037239267	42.3999001828647	"85"
30.6399741080407	51.3727196886969	"86"
30.9967672234009	49.8030189560422	"87"
30.3837144755954	48.5963463759929	"88"
-82.423175655186	50.7260194514088	"89"
-89.3122516598215	51.7277107609993	"90"
36.2429297935318	41.9636982369212	"91"
40.4802010409251	43.4608106971874	"92"
-83.4945139926618	42.65060150963	"93"
49.8310332221816	52.0656748230145	"94"
43.013706398459	51.232119886585	"95"
21.468005165655	44.927231319659	"96"
13.9432013146708	48.955386786649	"97"
176.013779094652	-33.0332549546613	"81"
173.519050646903	-34.5411524241114	"82"
