"SpeciesID.1" "PC1" "PC2" "PC3"
"HI.4257.001.BioOHT_10.R69_calmd.bam" -58.5956807083778 62.3169527374374 5.64746097572028
"HI.4257.001.BioOHT_11.R22_calmd.bam" -54.2099459751035 62.502074479659 5.77837140469139
"HI.4257.001.BioOHT_12.DDS202_calmd.bam" -62.9985233258868 -35.9405631892615 26.830974811425
"HI.4257.001.BioOHT_13.H1022_calmd.bam" 200.573832647673 -1.46803584975164 0.210053095853583
"HI.4257.001.BioOHT_14.H2095_calmd.bam" -60.7247034103087 -22.189060783148 -49.7480709545677
"HI.4257.001.BioOHT_15.H986_calmd.bam" -46.777729092556 62.477443765665 6.4415151752565
"HI.4257.001.BioOHT_16.04_51_calmd.bam" -63.4022843973685 -37.4143739696703 27.3963207360475
"HI.4257.001.BioOHT_17.04_58_calmd.bam" -63.1774150264735 -36.4819990596591 27.0535825756889
"HI.4257.001.BioOHT_18.H295_calmd.bam" -59.3450670536104 -15.889670172809 -9.74790111669123
"HI.4257.001.BioOHT_19.H260_calmd.bam" -58.9400307345929 62.6156004787096 5.65954375389721
"HI.4257.001.BioOHT_1.H337_calmd.bam" 207.702728350425 -2.05977741163674 -0.0266315987173435
"HI.4257.001.BioOHT_20.H648_calmd.bam" -58.764397767021 62.4568290632043 5.63913187706641
"HI.4257.001.BioOHT_21.C510_calmd.bam" -62.5274854869891 -35.091833110315 26.2733173838595
"HI.4257.001.BioOHT_22.H371_calmd.bam" -55.5206796235136 63.0002224590121 5.81894727626712
"HI.4257.001.BioOHT_23.H618_calmd.bam" -60.5416980302391 -22.1671536495307 -45.5945763930427
"HI.4257.001.BioOHT_24.TR88_calmd.bam" -34.8614538276126 60.7198009368442 6.57016940407408
"HI.4257.001.BioOHT_25.H2098_calmd.bam" -52.0206569347565 -37.2163739269646 27.8822638372472
"HI.4257.001.BioOHT_26.H2062_calmd.bam" 208.084687603629 -2.03421163290758 -0.147788572877297
"HI.4257.001.BioOHT_27.AT83_calmd.bam" -60.4657936103109 17.1506753633663 -3.61541401925699
"HI.4257.001.BioOHT_28.04_52_calmd.bam" -62.6663367349952 -32.6104864455463 7.85655165965549
"HI.4257.001.BioOHT_29.04_65_calmd.bam" -62.9593119927287 -34.9753832650753 17.1784649739571
"HI.4257.001.BioOHT_2.H2083_calmd.bam" -62.9673525555646 -36.0567405880892 26.9111554776392
"HI.4257.001.BioOHT_30.H872_calmd.bam" 211.711595268168 -2.44533049164088 -0.0917880064150707
"HI.4257.001.BioOHT_31.TR67_calmd.bam" -58.823133021652 62.5080179346492 5.6555218301881
"HI.4257.001.BioOHT_32.I131_calmd.bam" 200.750212373207 -1.31832086181307 0.218318786012076
"HI.4257.001.BioOHT_33.H248_calmd.bam" -63.0494872556021 -36.0218310747628 26.9250253224448
"HI.4257.001.BioOHT_34.C511_calmd.bam" -63.1685559074187 -36.4093349771106 27.1085041158078
"HI.4257.001.BioOHT_35.H909_calmd.bam" 194.639427854529 -1.11028694661976 0.142345264728428
"HI.4257.001.BioOHT_36.DDS239_calmd.bam" -61.5761331230247 -29.6096882617318 -19.4339681303897
"HI.4257.001.BioOHT_37.H2086_calmd.bam" -63.2633924951225 -36.6941587642865 27.1385881326775
"HI.4257.001.BioOHT_38.R108_calmd.bam" -52.8065645998546 62.370139361172 5.94772333354658
"HI.4257.001.BioOHT_39.DDS93_calmd.bam" -59.9378733522461 -28.8479131951137 -19.9544033641206
"HI.4257.001.BioOHT_3.H332_calmd.bam" -58.7762490689301 62.4458610808443 5.6711664035925
"HI.4257.001.BioOHT_40.Yu141_calmd.bam" -55.4077713456263 62.4409042419372 5.8505544133954
"HI.4257.001.BioOHT_43.H1018_calmd.bam" 212.519104135404 -2.39056889173848 0.0805806164007943
"HI.4257.001.BioOHT_44.H1096_calmd.bam" 199.657679711327 -1.20665733092842 0.0767510924857999
"HI.4257.001.BioOHT_45.CKT4_calmd.bam" -58.9343318361197 62.6143748850578 5.66221851918053
"HI.4257.001.BioOHT_46.H379_calmd.bam" 195.024442662416 -1.31448777988892 -0.0683280572927893
